0|0|1|4|1|7|1|3|1|1|1|3|1|2|1|1|2|14|2|12|1|6
2|10|0|0|1|4|1|7|1|3|1|1|1|3|1|2|1|1|2|14|2|12
2|13|2|10|0|0|1|4|1|7|1|3|1|1|1|3|1|2|1|1|2|14
2|13|2|13|2|10|0|0|1|4|1|7|1|3|1|1|1|3|1|2|1|1
0|0|2|13|2|13|2|10|0|0|1|4|1|7|1|3|1|1|1|3|1|2
2|10|0|0|2|13|2|13|2|10|0|0|1|4|1|7|1|3|1|1|1|3
1|1|2|10|0|0|2|13|2|13|2|10|0|0|1|4|1|7|1|3|1|1
2|10|1|1|2|10|0|0|2|13|2|13|2|10|0|0|1|4|1|7|1|3
1|1|2|10|1|1|2|10|0|0|2|13|2|13|2|10|0|0|1|4|1|7
1|3|1|1|2|10|1|1|2|10|0|0|2|13|2|13|2|10|0|0|1|4
1|7|1|3|1|1|2|10|1|1|2|10|0|0|2|13|2|13|2|10|0|0
1|7|1|7|1|3|1|1|2|10|1|1|2|10|0|0|2|13|2|13|2|10
1|4|1|7|1|7|1|3|1|1|2|10|1|1|2|10|0|0|2|13|2|13
2|12|1|4|1|7|1|7|1|3|1|1|2|10|1|1|2|10|0|0|2|13
2|14|2|12|1|4|1|7|1|7|1|3|1|1|2|10|1|1|2|10|0|0
2|14|2|14|2|12|1|4|1|7|1|7|1|3|1|1|2|10|1|1|2|10
2|13|2|14|2|14|2|12|1|4|1|7|1|7|1|3|1|1|2|10|1|1
1|1|2|13|2|14|2|14|2|12|1|4|1|7|1|7|1|3|1|1|2|10
2|8|1|1|2|13|2|14|2|14|2|12|1|4|1|7|1|7|1|3|1|1
1|3|2|8|1|1|2|13|2|14|2|14|2|12|1|4|1|7|1|7|1|3
0|0|1|3|2|8|1|1|2|13|2|14|2|14|2|12|1|4|1|7|1|7
1|5|0|0|1|3|2|8|1|1|2|13|2|14|2|14|2|12|1|4|1|7
1|4|1|5|0|0|1|3|2|8|1|1|2|13|2|14|2|14|2|12|1|4
1|5|1|4|1|5|0|0|1|3|2|8|1|1|2|13|2|14|2|14|2|12
2|10|1|5|1|4|1|5|0|0|1|3|2|8|1|1|2|13|2|14|2|14
0|0|2|10|1|5|1|4|1|5|0|0|1|3|2|8|1|1|2|13|2|14
2|9|0|0|2|10|1|5|1|4|1|5|0|0|1|3|2|8|1|1|2|13
2|14|2|9|0|0|2|10|1|5|1|4|1|5|0|0|1|3|2|8|1|1
1|5|2|14|2|9|0|0|2|10|1|5|1|4|1|5|0|0|1|3|2|8
0|0|1|5|2|14|2|9|0|0|2|10|1|5|1|4|1|5|0|0|1|3
2|10|0|0|1|5|2|14|2|9|0|0|2|10|1|5|1|4|1|5|0|0
1|5|2|10|0|0|1|5|2|14|2|9|0|0|2|10|1|5|1|4|1|5
