2|1560000|1|29|1|-400000|2|-15|1|29|1|-200000|2|-15|1|-100000|2|-15|1|-10|2|-15|1|-10|1|29|1|-10|2|-15|1|-10
2|1950000|2|-20|2|-20|1|39|1|-500000|1|39|1|-10|2|-20|1|-10|1|-10|1|-10|1|-10|1|-200|2|19|1|-180|1|-10
2|1560000|1|-500000|1|-10|1|-10|1|-10|1|-10|2|19|2|19|2|19|2|19|1|-10|1|-10|2|19|1|-10|1|-10|1|58
1|1560000|2|-400000|2|-200000|2|19|2|19|2|19|2|19|2|19|1|-10|2|19|1|-10|2|19|2|19|2|19|1|-10|2|19
2|3900000|1|-1000000|1|-500000|1|-250000|1|-10|1|-10|1|-10|1|-10|2|19|2|19|2|19|1|-10|2|19|2|19|1|-10|1|-10
2|5850000|1|-1500000|1|-700000|1|-300000|1|-10|1|-10|1|-10|1|-10|1|-10|2|19|2|19|1|-10|1|-10|2|19|2|19|1|-10
2|2340000|1|-1200000|1|-1200000|1|-600000|1|-300000|1|-150000|1|-50000|1|-10|1|-10|2|189|1|-10|1|-10|2|97|2|19|1|-10|1|-10
1|6240000|2|-1600000|2|-800000|2|-400000|2|-200000|2|-100000|2|19|2|19|2|19|2|19|2|19|1|-10|2|19|1|-10|1|-10|2|19
2|1170000|1|-300000|1|-10|1|-10|1|-10|1|-10|1|-10|2|19|2|19|2|19|2|19|1|-10|2|19|1|-10|2|19|1|-10
1|1170000|2|-300000|2|19|2|19|2|19|2|19|2|19|1|-10|2|19|2|19|1|-10|2|19|2|19|1|-10|1|-10|1|-10
1|5850000|2|-1500000|2|-600000|2|-300000|2|19|2|19|2|19|2|19|2|19|1|-10|1|-10|2|19|1|-10|2|19|1|-10|2|19
1|3120000|2|-1600000|2|-1600000|1|345|2|-800000|2|-400000|2|-200000|2|19|2|19|2|19|2|19|2|19|1|-10|2|19|1|-10|1|-10
1|1560000|1|58|2|-400000|2|-200000|2|19|2|19|2|19|2|19|2|19|1|-10|1|-10|2|19|2|19|2|19|1|-10|2|19
2|1950000|1|-500000|1|-200000|1|-10|1|-10|1|-10|1|-10|2|19|1|-10|1|-10|1|-10|2|19|2|19|1|-10|1|-10|1|-10
2|3900000|1|-1000000|1|-500000|1|-250000|1|-10|1|-10|1|-10|1|-10|2|19|2|19|2|19|2|3120000|1|-1600000|1|-800000|1|-400000|1|-200000
2|3120000|1|-1600000|1|-800000|1|-400000|1|-200000|1|-10|1|-10|1|-10|1|-10|2|19|2|19|1|-10|1|-10|1|-10|2|19|2|19
1|1560000|1|-12|2|-400000|1|33|2|-200000|2|19|2|33|1|33|2|19|1|33|2|19|2|-17|2|19|2|-17|2|19|1|-10
2|1950000|1|-500000|1|-200000|1|-10|1|-10|1|-10|1|-10|2|19|2|487500|1|-10|1|-10|1|-10|1|-10|2|19|1|-10|2|19
2|3900000|1|-1000000|1|-500000|1|-250000|1|-10|1|-10|1|-10|1|-10|2|-1500000|2|-1500000|2|-640000|2|-320000|2|-150000|2|-50000|2|19|2|19
2|1365000|1|-350000|1|-150000|1|-50000|1|-10|1|-10|1|-10|1|-10|2|19|1|-10|2|195000|1|-10|1|-10|1|-10|1|-10|1|585000
2|1170000|1|-600000|1|-600000|1|-300000|1|-150000|1|-50000|1|-10|1|-10|1|-10|1|-10|2|19|1|-10|2|19|1|-10|2|19|2|19
