982204 11 b
982203 9 b
982202 7 r
982201 0 g
982200 0 g
982199 3 r
982198 13 b
982197 11 b
982196 7 r
982195 14 b
982194 14 b
982193 2 r
982192 4 r
982191 10 b
982190 14 b
982189 12 b
982188 9 b
982187 8 b
982186 7 r
982185 13 b
982184 8 b
982183 3 r
982182 4 r
982181 12 b
982180 9 b
982179 1 r
982178 6 r
982177 13 b
982176 10 b
982175 5 r
982174 11 b
982173 3 r
982172 5 r
982171 2 r
982170 5 r
982169 1 r
982168 6 r
982167 10 b
982166 5 r
982165 1 r
982164 4 r
982163 6 r
982162 14 b
982161 5 r
982160 9 b
982159 3 r
982158 14 b
982157 14 b
982156 8 b
982155 10 b
982154 4 r
982153 3 r
982152 10 b
982151 0 g
982150 6 r
982149 4 r
982148 0 g
982147 4 r
982146 6 r
982145 5 r
982159 3 r
982158 14 b
982157 14 b
982156 8 b
982155 10 b
982154 4 r
982153 3 r
982152 10 b
982151 0 g
982150 6 r
982149 4 r
982148 0 g
982147 4 r
982146 6 r
982145 5 r
982129 9 b
982128 13 b
982127 8 b
982126 5 r
982125 6 r
982124 11 b
982123 11 b
982122 12 b
982121 0 g
982120 13 b
982119 7 r
982118 10 b
982117 0 g
982116 3 r
982115 0 g
982114 2 r
982113 3 r
982112 8 b
982111 8 b
982110 3 r
982109 7 r
982108 14 b
982107 6 r
982106 1 r
982105 2 r
